SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Kitchen_Base_Unit,Base_Single_Door,BC_SSD_400,BC_400,SD_40_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Single_Door,BC_SSD_450,BC_450,SD_45_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Single_Door,BC_SSD_500,BC_500,SD_50_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Single_Door,BC_SSD_550,BC_550,SD_55_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Single_Door,BC_SSD_600,BC_600,SD_60_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Double_Door,BC_SDD_800,BC_800,SD_80_70,Double,No,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Double_Door,BC_SDD_900,BC_900,SD_90_70,Double,No,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_CupSaucer_Thali,BC_CCT_600,BC_CCT_600,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_CupSaucer_Thali,BC_CCT_900,BC_CCT_900,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_CupSaucer_PlainBasket,BC_CCP_600,BC_CCP_600,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_CupSaucer_PlainBasket,BC_CCP_900,BC_CCP_900,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_2PlainBaskets,BC_CPP_600,BC_CPP_600,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_2PlainBaskets,BC_CPP_900,BC_CPP_900,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_2TandomBoxes,BC_CTT_600,BC_CTT_600,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_2TandomBoxes,BC_CTT_800,BC_CTT_800,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Cutlery_2TandomBoxes,BC_CTT_900,BC_CTT_900,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_corner_cabinate,BC_CU_1100RHS,BC_CU_1100RHS,No,Corner_door,Yes,No,No,No,No,1_1
Kitchen_Base_Unit,Base_corner_cabinate,BC_CU_1100LHS,BC_CU_1100LHS,No,Corner_door,Yes,No,No,No,No,1_1
Kitchen_Base_Unit,Base_corner_Bifolding_cabinate,BC_CBF_900,BC_CBF_900,No,Bi-fold,Yes,No,No,No,No,1_1
Kitchen_Base_Unit,Base_2Tandomboxes,BC_TT_600,BC_TT_600,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_2Tandomboxes,BC_TT_800,BC_TT_800,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_2Tandomboxes,BC_TT_900,BC_TT_900,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Sink_Unit,BC_SK_600,BC_SK_600,SD_60_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Sink_Unit,BC_SK_900,BC_SK_900,SD_90_70,Double,No,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Cylinder_Cabinet,BC_CY_500,BC_CY_500,SD_50_70,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Cylinder_Cabinet,BC_CY_900,BC_CY_900,SD_90_70,Double,No,Yes,No,No,No,1_1
Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPO_150,BC_BPO_150,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPO_200,BC_BPO_200,No,Drawer,No,No,No,No,No,1_1
Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPO_300,BC_BPO_300,No,Drawer,No,No,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Cutlery_CupSaucer_Thali,BC_CCTGO_600,BC_CCTGO_600,No,Drawer,No,Yes,No,No,No,1_1
